name hub_score
244993_s_at 5.13806339274189e-16
263224_at 1.86838668826978e-16
251189_at 7.14383145514915e-17
245512_at 1.53867139033982e-16
256288_at 1.09905099309987e-16
261470_at 2.27297483510467e-15
266426_x_at 4.48022642082196e-13
255520_at 2.19810198619974e-16
257906_at 2.33548336033722e-17
253942_at 3.57191572757457e-17
252326_at 6.59430595859921e-17
247978_at 3.29715297929961e-16
246192_at 8.79240794479895e-17
246457_at 2.19810198619974e-16
257135_at 4.80834809481193e-18
264658_at 1.70847476877375e-14
263973_at 1.6485764896498e-16
252117_at 9.45733379562437e-15
259861_at 1.97829178757976e-16
259977_at 2.32174522292347e-15
250845_at 2.74762748274967e-17
260584_at 4.45626710917238e-13
254624_at 1.13944111709629e-14
261951_at 4.80834809481193e-18
246400_at 4.94572946894941e-17
255685_s_at 1.20895609240986e-16
263839_at 4.67096672067444e-17
258158_at 1.38081636236219e-08
259941_s_at 2.32998810537172e-15
260517_at 4.80834809481193e-18
245523_at 6.86906870687418e-18
248942_at 6.86906870687418e-18
266000_at 6.76740649001244e-15
263016_at 3.57191572757457e-17
250495_at 2.63772238343969e-16
247409_at 6.86906870687418e-18
264560_at 1.75848158895979e-16
254784_at 1.51119511551232e-17
261317_at 4.80834809481193e-18
249055_at 2.47286473447471e-17
254231_at 4.80834809481193e-18
249253_at 1.42876629102983e-16
264465_at 4.80834809481193e-18
257406_at 1.23643236723735e-17
245064_at 8.8075957304726e-11
245035_at 2.19810198619974e-17
247864_s_at 8.24288244824902e-17
253388_at 3.57191572757457e-17
265902_at 1.78595786378729e-16
256016_at 1.42876629102983e-16
260294_at 8.79240794479895e-17
257694_at 1.20895609240986e-16
264107_s_at 4.80834809481193e-18
252993_at 8.24288244824902e-18
262314_at 1.17247158349879e-10
249815_at 1.31886119171984e-16
254620_at 1.97829178757976e-16
262832_s_at 4.80834809481193e-18
245089_at 4.80834809481193e-18
259110_at 4.12144122412451e-17
265442_at 1.37381374137484e-17
246620_at 1.51119511551232e-17
253549_at 1.86838668826978e-16
251366_at 1.85464855085603e-17
256178_s_at 4.48008903944782e-13
250580_at 6.18216183618676e-18
251667_at 1.42876629102983e-16
256619_at 4.80834809481193e-18
251059_at 4.80834809481193e-18
250476_at 4.80834809481193e-18
267205_at 4.80834809481193e-18
264638_at 4.80834809481193e-18
267516_at 7.5559755775616e-18
265877_at 4.80834809481193e-18
261570_at 1.13748755395605e-12
256275_at 5.78925110615356e-15
255969_at 6.31954321032425e-17
248790_at 9.90242889731701e-05
246827_at 1.03805366298283e-14
250478_at 6.86906870687418e-18
264025_at 1.23643236723735e-17
247856_at 4.80834809481193e-18
247030_at 4.80834809481193e-18
245176_at 4.80834809481193e-18
250939_at 4.39620397239948e-17
257076_at 4.80834809481193e-18
250936_at 4.80834809481193e-18
257219_at 1.09905099309987e-16
247597_at 4.80834809481193e-18
265111_at 8.9951160307255e-10
255488_at 1.51119511551232e-17
247914_at 4.52665555801034e-09
266988_at 6.18216183618676e-18
267505_at 4.80834809481193e-18
259943_at 1.92333923792477e-17
245010_at 6.18216183618676e-18
258025_at 6.7316873327367e-17
261129_at 3.02239023102464e-17
264147_at 4.80834809481193e-18
249392_at 1.37381374137484e-17
259072_at 4.80834809481193e-18
252365_at 1.37381374137484e-17
266353_at 6.18216183618676e-18
244972_at 4.80834809481193e-18
262260_at 6.86906870687418e-18
256994_s_at 6.18216183618676e-18
245011_at 6.18216183618676e-18
265443_at 4.80834809481193e-18
249774_at 3.06419955640868e-08
245262_at 6.86906870687418e-18
247470_at 7.5559755775616e-18
244937_at 4.80834809481193e-18
266715_at 6.86906870687418e-18
260676_at 4.80834809481193e-18
247467_at 4.80834809481193e-18
247463_at 4.80834809481193e-18
248224_at 1.6485764896498e-17
252950_at 4.80834809481193e-18
252563_at 7.60823380370701e-11
248419_at 1.75848158895979e-16
254553_at 1.23643236723735e-17
256049_at 1.37381374137484e-17
247638_at 1.93944462127256e-10
262151_at 1.51119511551232e-17
261975_at 4.12144122412451e-17
246797_at 6.86906870687418e-18
252272_at 7.14383145514915e-17
246983_at 7.14383145514915e-17
251157_at 3.02239023102464e-17
262473_at 7.5559755775616e-18
250133_at 1.51119511551232e-17
251899_at 3.57191572757457e-17
248377_at 1.02088099121564e-14
251575_at 7.5559755775616e-18
255549_at 4.80834809481193e-18
265665_at 1.02066969866222e-11
253860_at 1.37381374137484e-17
245000_at 4.80834809481193e-18
245024_at 4.80834809481193e-18
252441_at 1.92333923792477e-17
251688_at 4.80834809481193e-18
254938_at 1.03538654098532e-11
262168_at 7.5559755775616e-18
251658_at 4.80834809481193e-18
250261_at 2.61024610861219e-16
259686_at 2.33548336033722e-17
250500_at 2.06589836768161e-09
250278_at 1.04409844344488e-16
267260_at 3.50322504050583e-17
245002_at 6.18216183618676e-18
252858_at 5.1049239829097e-11
263379_at 4.44676031808207e-14
247362_at 4.48412805184747e-15
260140_at 2.44868561262651e-14
254931_at 4.1763937737795e-16
260560_at 6.86906870687418e-18
256858_at 7.91316715031906e-16
245426_at 2.28602606564773e-15
249850_at 1.75848158895979e-16
253981_at 5.64912210453333e-15
260937_at 2.90149462178365e-15
266612_at 8.352787547559e-16
256377_at 8.90231304410894e-16
256453_at 5.58977335090593e-14
257164_at 4.1763937737795e-16
263046_at 5.38534986618936e-16
248969_at 2.26844124975813e-14
249178_at 9.77605858362334e-15
252122_at 1.6485764896498e-16
250221_at 7.91316715031906e-16
250987_at 6.44285673175005e-13
249645_at 1.97829178757976e-16
263525_at 1.58263343006381e-15
248335_at 3.24494805712736e-14
251206_at 4.61601417101945e-16
267553_s_at 5.16553966756938e-16
246738_at 2.30800708550973e-16
246074_at 3.73677337653956e-16
254501_at 2.85753258205966e-16
259875_s_at 2.19810198619974e-16
245602_at 1.31886119171984e-16
250194_at 1.55201386939605e-12
250625_at 1.53867139033982e-16
254011_at 2.59376034371569e-15
249741_at 3.62686827722957e-16
264574_at 7.41859420342412e-17
249425_at 1.92883449289027e-14
262503_at 3.91996319606944e-12
260921_at 2.09869282387385e-13
248239_at 1.6793499174566e-14
262661_s_at 2.74762748274967e-16
263679_at 3.73677337653956e-16
257342_at 1.38480425130584e-15
253537_at 2.85753258205966e-16
264213_at 2.85753258205966e-16
249366_at 1.09905099309987e-16
260815_at 6.59430595859921e-16
258153_at 1.23093711227185e-15
254580_at 7.14383145514915e-17
246884_at 2.08819688688975e-16
260285_at 3.29715297929961e-16
263209_at 5.27544476687937e-16
265051_at 2.11017790675175e-15
267474_at 8.79240794479895e-16
249284_at 6.86906870687418e-17
257381_at 2.41791218481971e-16
260428_at 2.69267493309468e-16
264637_at 3.07734278067963e-16
260364_at 3.51696317791958e-16
259415_at 1.07706997323787e-15
251008_at 5.82497026342931e-15
252464_at 1.27969760863172e-11
247668_at 6.6932205479782e-15
