name degree
266150_s_at 2
247835_at 22
259214_at 2
248558_at 8
247519_at 76
266175_at 10
264687_at 26
256981_at 24
263157_at 7
260881_at 77
256913_at 116
249979_s_at 38
259923_at 71
267008_at 6
258791_at 1
246215_at 3
258218_at 3
250550_at 40
251181_at 5
254766_at 49
260024_at 6
261114_at 9
254059_at 136
263841_at 6
250304_at 2
246858_at 4
253344_at 15
255883_at 121
245676_at 6
252570_at 42
252073_at 1
248879_at 10
248495_at 40
259975_at 36
249983_at 3
263433_at 4
251790_at 8
257216_at 5
265991_at 3
267266_at 4
265544_at 13
256598_at 6
265170_at 18
247345_at 2
266231_at 48
264893_at 2
251293_at 3
255812_at 9
252958_at 16
259129_at 0
248622_at 5
267497_at 0
258975_at 3
259550_at 17
253099_s_at 6
258887_at 18
245275_at 0
257635_at 1
259133_at 14
264866_at 3
255430_at 3
252095_at 2
266364_at 1
248763_at 11
253571_at 26
251304_at 3
245244_at 24
258064_at 0
250455_at 17
246531_at 13
248961_at 5
267261_at 1
266181_at 7
258468_at 11
256497_at 3
250633_at 4
252537_at 6
265611_at 7
252014_at 8
