name cluster
251521_at 1
262620_at 1
248381_at 1
245188_at 1
251799_at 1
252291_s_at 1
247348_at 1
267596_s_at 1
266891_at 1
257730_at 1
255652_at 1
249826_at 1
256061_at 1
261177_at 1
266002_at 1
248728_at 1
259173_at 1
257891_at 1
246052_at 1
248037_at 1
246225_at 1
245494_at 1
253233_at 1
258034_at 1
265109_s_at 1
249551_at 1
262880_at 1
266427_at 1
249354_at 1
253525_at 2
245319_at 1
258573_at 1
248075_at 1
260776_at 1
249010_at 1
251685_at 1
258861_at 1
260489_at 1
253005_at 1
263573_at 1
266537_at 1
252888_at 2
266618_at 1
264969_at 1
259990_s_at 1
267048_at 1
248552_at 1
264279_s_at 2
266237_at 1
254819_at 1
251827_at 1
247089_at 1
267442_at 1
254016_at 1
263231_at 1
252629_at 1
253697_at 3
261023_at 2
260272_at 1
251647_at 1
255231_at 1
265880_at 1
266578_at 1
264224_at 1
245215_at 1
265672_at 2
245255_at 1
257759_at 1
249835_s_at 1
260293_at 1
247529_at 1
258860_at 1
256343_at 1
248329_at 1
267461_at 1
245789_at 2
258921_at 2
252410_at 1
247678_at 1
262780_at 1
256150_at 1
250854_at 1
258396_at 1
249291_at 1
261561_at 1
262682_at 2
246303_at 1
250203_at 1
248283_at 1
249127_at 1
257237_at 1
261068_at 1
264301_at 2
250025_at 1
257270_at 1
256491_at 1
246791_at 1
257056_at 2
253159_at 1
246238_at 1
249808_at 1
267414_at 1
261259_at 1
266018_at 1
249125_at 1
253602_s_at 1
253841_at 2
246125_at 2
245029_at 1
248152_at 1
264653_at 1
245306_at 2
264890_at 1
251600_at 1
267059_at 1
265720_at 1
251805_at 1
263031_at 1
262823_at 1
256089_at 1
253912_at 1
265510_at 1
266867_at 1
261577_at 1
259730_at 2
248855_at 1
251986_at 1
257180_at 1
247886_at 1
254750_at 1
267555_at 1
251095_at 1
254527_at 1
244978_at 1
255429_at 1
258198_at 1
266294_at 2
256113_at 1
251183_at 1
251496_at 1
255524_at 1
246584_at 1
265288_at 1
265918_at 1
248709_at 1
255360_at 1
260876_at 2
258856_at 2
267233_s_at 1
256746_at 1
247216_at 1
248812_at 2
248729_at 1
254317_at 1
247748_at 1
263637_at 1
250444_at 1
257377_at 1
245284_at 1
248628_at 1
263205_at 1
260367_at 1
248352_at 1
266192_at 1
257315_at 1
256666_at 1
264091_at 1
259878_at 1
260200_at 1
251063_at 1
267419_at 1
253530_at 1
257181_at 1
248118_at 2
258300_at 1
249685_at 1
254835_s_at 1
247478_at 1
260283_at 1
256814_at 1
249231_at 1
250252_at 1
259591_at 1
259152_at 1
257701_at 1
259928_at 1
245052_at 2
254760_at 1
246325_at 2
245575_at 1
250255_at 1
251811_at 1
264698_at 1
260684_at 1
265596_at 1
250739_at 1
257972_at 1
250167_at 1
245094_at 1
267471_at 1
257655_at 1
245049_at 1
254549_at 1
266824_at 2
253607_at 1
258151_at 1
249948_at 1
264247_at 1
255607_at 1
256021_at 1
253581_at 1
262134_at 1
257481_at 1
248105_at 1
256098_at 1
249752_at 2
254181_at 1
261898_at 1
257641_s_at 3
266521_at 1
263515_at 1
256983_at 1
253861_at 1
264089_at 1
245022_at 1
251500_at 1
259199_at 1
256870_at 1
258114_at 1
260549_at 1
245912_at 1
253028_at 1
247100_at 1
246509_at 1
247398_at 1
266335_at 1
251080_at 1
261864_s_at 1
256383_at 1
255557_at 1
258155_at 1
252183_at 1
254759_at 2
262494_at 1
261453_at 3
266290_at 2
255284_at 1
248696_at 1
254805_at 2
253382_at 2
248412_at 1
249946_at 1
245637_at 3
264299_s_at 3
262811_at 3
262653_at 2
262619_at 1
259444_at 1
259750_at 2
259600_at 1
250515_at 1
253829_at 1
254663_at 1
262452_at 1
248549_at 1
264960_at 1
262622_at 1
261487_at 1
264507_at 1
253340_s_at 1
248975_at 1
249719_at 2
260412_at 1
256461_s_at 1
